REQUEST_DATE|SCENARIO_SEQ|REQUEST_SEQ|XPOS|YPOS|SISUL_CD1|RSRP1|SINR1|SISUL_CD2|RSRP2|SINR2|SISUL_CD3|RSRP3|SINR3
43740|1|1|127-06-03.965|37-29-58.380|20193AI66|-94.409546|12.24||||||
43740|1|1|127-06-03.965|37-29-58.704|20193AI66|-94.58298|11.8||||||
43740|1|1|127-06-03.966|37-29-59.029|20193AI66|-119.27569|3.96||||||
43740|1|1|127-06-03.966|37-29-59.353|20193AI66|-95.433655|10.53||||||
43740|1|1|127-06-03.967|37-29-59.678|20193AI66|-119.025444|4.09||||||
43740|1|1|127-06-03.967|37-30-0.002|20193AI66|-95.41819|10.07||||||
43740|1|1|127-06-03.968|37-30-0.326|20193AI66|-120.55727|2.53||||||
43740|1|1|127-06-03.968|37-30-0.651|20193AI66|-97.28933|7.65||||||
43740|1|1|127-06-03.968|37-30-0.975|20193AI66|-97.9945|6.89||||||
43740|1|1|127-06-03.969|37-30-01.299|2019Y1723|-121.58092|1.45||||||
43740|1|1|127-06-03.969|37-30-01.624|2019Y1723|-120.91083|2.24||||||
43740|1|1|127-06-03.970|37-30-01.948|2019Y1723|-120.50333|2.76||||||
43740|1|1|127-06-03.970|37-30-02.272|2019Y1723|-95.128654|11.44||||||
43740|1|1|127-06-03.971|37-30-02.597|2019Y1723|-94.333725|12.39||||||
43740|1|1|127-06-03.971|37-30-02.921|2019Y1723|-116.62362|6.8||||||
43740|1|1|127-06-03.971|37-30-03.246|2019Y1723|-92.29992|14.1||||||
43740|1|1|127-06-03.972|37-30-03.570|2019Y1723|-90.28841|15.01||||||
43740|1|1|127-06-03.972|37-30-03.894|2019Y1723|-114.15684|8.54||||||
43740|1|1|127-06-03.973|37-30-04.219|2019Y1723|-113.102104|9.44||||||
43740|1|1|127-06-03.973|37-30-04.543|2019Y1723|-87.9266|14.53||||||
43740|1|1|127-06-03.974|37-30-04.867|2019Y1723|-88.538086|13.19||||||
43740|1|1|127-06-03.974|37-30-05.192|2019Y1723|-92.705215|9.21||||||
43740|1|1|127-06-03.975|37-30-05.516|2019Y5342|-94.097946|13.23||||||
43740|1|1|127-06-03.975|37-30-05.840|2019Y1723|-114.4538|7.59||||||
43740|1|1|127-06-03.975|37-30-06.165|2019Y1723|-85.08724|17.35||||||
43740|1|1|127-06-03.976|37-30-06.489|2019Y1723|-110.5934|11.75||||||
43740|1|1|127-06-03.976|37-30-06.814|2019Y1723|-98.72013|23.59||||||
43740|1|1|127-06-03.977|37-30-07.138|2019Y1723|-78.90614|24.22||||||
43740|1|1|127-06-03.977|37-30-07.462|2019Y7772|-90.76297|31.14||||||
43740|1|1|127-06-03.978|37-30-07.787|2019Y7772|-86.4962|16.93||||||
43740|1|1|127-06-03.978|37-30-08.111|2019Y7772|-85.71833|17.1||||||
43740|1|1|127-06-03.978|37-30-08.435|2019Y7772|-87.06902|15.53||||||
43740|1|1|127-06-03.979|37-30-08.760|201934295|-98.04174|21.51||||||
43740|1|1|127-06-03.979|37-30-09.084|201934295|-118.22371|4.57||||||
43740|1|1|127-06-03.980|37-30-09.408|201934295|-98.53447|23.26||||||
43740|1|1|127-06-03.980|37-30-09.733|2019Y7772|-94.491135|8.06||||||
43740|1|1|127-06-03.981|37-30-10.057|201934295|-84.17627|16.13||||||
43740|1|1|127-06-03.981|37-30-10.381|201934295|-83.07824|16.97||||||
43740|1|1|127-06-03.982|37-30-10.706|201934295|-90.84301|9.76||||||
43740|1|1|127-06-03.982|37-30-11.030|2019Y7772|-94.67603|9.28||||||
43740|1|1|127-06-03.982|37-30-11.355|2019Y7772|-95.717545|8.18||||||
43740|1|1|127-06-03.983|37-30-11.679|2019Y7772|-96.641235|9.71||||||
43740|1|1|127-06-03.983|37-30-12.003|2019Y7772|-120.91763|2.09||||||
43740|1|1|127-06-03.984|37-30-12.328|2019Y7772|-98.54628|7.93||||||
43740|1|1|127-06-03.984|37-30-12.652|2019Y7772|-123.628075|-0.45||||||
43740|1|1|127-06-03.985|37-30-12.976|201934295|-122.39268|0.86||||||
43740|1|1|127-06-03.985|37-30-13.301|201934295|-98.54928|7.42||||||
43740|1|1|127-06-03.985|37-30-13.625|201934295|-124.80848|-1.66||||||
43740|1|1|127-06-03.986|37-30-13.949|201934295|-125.1073|-2.02||||||
43740|1|1|127-06-03.986|37-30-14.274|20193AYPT|-102.00611|3.33||||||
